COD_MUN,MUNICIPIO,SIGLA_UF,IDSC-BR_2024,Classificação_2024
1700251,Abreulândia ,TO,"41,24",4334
1700301,Aguiarnópolis ,TO,"44,74",3360
1700350,Aliança do Tocantins ,TO,"42,86",3881
1700400,Almas ,TO,"39,12",4848
1700707,Alvorada ,TO,"46,69",2764
1701002,Ananás ,TO,"41,16",4344
1701051,Angico ,TO,"48,05",2344
1701101,Aparecida do Rio Negro ,TO,"43,35",3746
1701309,Aragominas ,TO,"37,98",5056
1701903,Araguacema ,TO,"42,97",3858
1702000,Araguaçu ,TO,"43,63",3666
1702109,Araguaína ,TO,"45,28",3186
1702158,Araguanã ,TO,"38,82",4902
1702208,Araguatins ,TO,"38,65",4943
1702307,Arapoema ,TO,"41,87",4154
1702406,Arraias ,TO,"39,51",4761
1702554,Augustinópolis ,TO,"41,92",4139
1702703,Aurora do Tocantins ,TO,"45,42",3140
1702901,Axixá do Tocantins ,TO,"40,81",4438
1703008,Babaçulândia ,TO,"36,91",5212
1703057,Bandeirantes do Tocantins ,TO,"43,09",3822
1703073,Barra do Ouro ,TO,"35,83",5313
1703107,Barrolândia ,TO,"39,85",4665
1703206,Bernardo Sayão ,TO,"41,7",4207
1703305,Bom Jesus do Tocantins ,TO,"37,54",5137
1703602,Brasilândia do Tocantins ,TO,"46,19",2914
1703701,Brejinho de Nazaré ,TO,"42,09",4093
1703800,Buriti do Tocantins ,TO,"41,24",4333
1703826,Cachoeirinha ,TO,"51,14",1465
1703842,Campos Lindos ,TO,"38,18",5025
1703867,Cariri do Tocantins ,TO,"45,53",3114
1703883,Carmolândia ,TO,"45,13",3228
1703891,Carrasco Bonito ,TO,"49,48",1938
1703909,Caseara ,TO,"46,6",2793
1704105,Centenário ,TO,"37,98",5057
1704600,Chapada de Areia ,TO,"47,1",2626
1705102,Chapada da Natividade ,TO,"41,8",4178
1705508,Colinas do Tocantins ,TO,"45,44",3136
1705557,Combinado ,TO,"50,44",1666
1705607,Conceição do Tocantins ,TO,"41,91",4144
1706001,Couto Magalhães ,TO,"37,95",5061
1706100,Cristalândia ,TO,"40,59",4496
1706258,Crixás do Tocantins ,TO,"45,38",3155
1706506,Darcinópolis ,TO,"34,28",5444
1707009,Dianópolis ,TO,"39,78",4680
1707108,Divinópolis do Tocantins ,TO,"40,77",4449
1707207,Dois Irmãos do Tocantins ,TO,"37,56",5131
1707306,Dueré ,TO,"43,35",3748
1707405,Esperantina ,TO,"37,57",5126
1707553,Fátima ,TO,"47,72",2437
1707652,Figueirópolis ,TO,"41,39",4285
1707702,Filadélfia ,TO,"41,24",4331
1708205,Formoso do Araguaia ,TO,"37,16",5186
1708254,Tabocão ,TO,"44,99",3272
1708304,Goianorte ,TO,"45,65",3083
1709005,Goiatins ,TO,"37,26",5172
1709302,Guaraí ,TO,"45,84",3029
1709500,Gurupi ,TO,"45,34",3164
1709807,Ipueiras ,TO,"47,59",2474
1710508,Itacajá ,TO,"41,62",4231
1710706,Itaguatins ,TO,"44,77",3345
1710904,Itapiratins ,TO,"43,13",3801
1711100,Itaporã do Tocantins ,TO,"42,01",4113
1711506,Jaú do Tocantins ,TO,"38,89",4886
1711803,Juarina ,TO,"44,03",3549
1711902,Lagoa da Confusão ,TO,"37,3",5164
1711951,Lagoa do Tocantins ,TO,"43,13",3802
1712009,Lajeado ,TO,"48,66",2163
1712157,Lavandeira ,TO,"46,82",2710
1712405,Lizarda ,TO,"41,91",4147
1712454,Luzinópolis ,TO,"44,3",3478
